State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AK,rural-remote,95.55555556,0.317460317,0.634920635,0.317460317,3.174603175,0,315
AK,rural-remote,18.81188119,3.870387039,3.420342034,5.400540054,58.14581458,10.3510351,1111
AK,town-remote,75.44715447,1.300813008,0,0.650406504,9.918699187,12.68292683,615
AK,city-small,8.227344992,3.640699523,4.753577107,8.895071542,58.81558029,15.66772655,12580
AK,rural-remote,76.34099617,9.243295019,0.766283525,0.383141762,2.250957854,11.01532567,2088
AK,rural-remote,92.77334585,0.187705303,0.187705303,0.187705303,2.956358517,3.707179728,2131
AK,rural-remote,0,0,0,0,40,60,10
AK,rural-remote,16.21052632,7.368421053,2.315789474,3.789473684,69.68421053,0.631578947,475
AK,rural-remote,98.48484848,0,0,1.515151515,0,0,66
AK,rural-remote,98.13953488,0,0,0,0,1.860465116,215
AK,rural-remote,3.03030303,3.787878788,0.757575758,2.272727273,75.75757576,14.39393939,132
AK,rural-remote,7.446808511,1.595744681,0.531914894,6.382978723,76.59574468,7.446808511,188
AK,rural-remote,94.88054608,0,0,0.170648464,1.706484642,3.242320819,586
AK,rural-remote,86.11111111,0,0,0,2.777777778,11.11111111,36
AK,rural-remote,12.66149871,50.90439276,1.291989664,11.36950904,22.73901809,1.033591731,387
AK,rural-remote,49.11242604,0,5.325443787,0,40.23668639,5.325443787,169
AK,rural-remote,96.20253165,0,0.759493671,0,2.784810127,0.253164557,395
AK,rural-remote,6.529209622,3.092783505,4.696449026,8.132875143,65.52119129,12.02749141,873
AK,rural-remote,97.15447154,0,0,0,2.845528455,0,246
AK,rural-remote,8.823529412,2.941176471,0.309597523,4.024767802,65.47987616,18.42105263,646
AK,city-large,11.73594132,6.112469438,1.466992665,4.400977995,67.97066015,8.312958435,409
AK,rural-remote,28.20512821,4.395604396,0.366300366,1.465201465,44.68864469,20.87912088,273
AK,rural-remote,55.29411765,2.352941176,2.352941176,2.352941176,30.58823529,7.058823529,85
AK,suburban-small,28.57967667,2.540415704,1.501154734,2.193995381,59.58429561,5.600461894,1732
AZ,city-midsize,0.330517811,2.680866691,1.028277635,8.997429306,85.2368711,1.726037459,5446
AZ,town-fringe,1.131911189,0.60949064,0.653025686,29.9085764,65.47670875,2.220287331,2297
AZ,town-distant,9.271523179,0.220750552,0.220750552,18.76379691,67.10816777,4.415011038,453
AZ,rural-remote,0,0,1.5625,70.3125,27.34375,0.78125,128
AZ,town-distant,1.119402985,0,0,0.373134328,97.76119403,0.746268657,536
AZ,rural-remote,6.097560976,0,1.219512195,9.756097561,79.26829268,3.658536585,82
AZ,rural-remote,97.17064545,0.707338638,0,0.353669319,0.442086649,1.326259947,1131
AZ,rural-remote,1.939058172,0.831024931,0.831024931,18.00554017,74.79224377,3.601108033,361
AZ,town-remote,1.515151515,1.107226107,1.282051282,38.57808858,54.07925408,3.438228438,1716
AZ,city-small,73.04347826,1.739130435,0.869565217,4.347826087,20,0,115
AZ,town-distant,0.628930818,1.41509434,1.808176101,26.10062893,68.23899371,1.808176101,1272
AZ,town-remote,2.559576346,1.647543395,0.956163578,22.182995,68.60841424,4.045307443,6798
AZ,rural-fringe,1.219512195,1.219512195,1.219512195,24.3902439,69.51219512,2.43902439,82
AZ,town-remote,100,0,0,0,0,0,3
AZ,suburban-midsize,0.875273523,3.900115845,10.49041061,46.09344832,35.29411765,3.346634058,7769
AZ,rural-remote,0,0,0,95.4248366,2.614379085,1.960784314,153
AZ,town-remote,9.76744186,4.186046512,0.23255814,67.90697674,16.27906977,1.627906977,430
AZ,city-large,2.057581574,3.147792706,8.414587332,78.77159309,6.249520154,1.358925144,13025
AZ,rural-remote,8.196721311,0,0,14.75409836,77.04918033,0,61
AZ,suburban-large,1.971546183,3.495341951,4.983028815,42.36296671,44.79670687,2.390409475,13847
AZ,rural-distant,0.432900433,0.865800866,0,79.22077922,19.48051948,0,231
AZ,rural-remote,0,66.66666667,0,0,33.33333333,0,3
AZ,suburban-large,1.019586799,0.804936947,1.019586799,31.39254092,63.48269386,2.280654682,3727
AZ,rural-distant,0,0,0,67.18146718,31.66023166,1.158301158,259
AZ,rural-remote,0,0,0,0,100,0,15
AZ,rural-remote,0.836820084,0,0.418410042,48.53556485,50.20920502,0,239
AZ,suburban-midsize,0.68063765,2.704639083,11.58875157,62.74404442,21.27888232,1.003044958,5583
AZ,rural-remote,3.258145363,1.253132832,1.754385965,24.56140351,68.17042607,1.002506266,399
AZ,city-large,4.945277665,1.175516822,13.7413863,71.82813133,5.837049047,2.472638833,2467
AZ,rural-fringe,3.584229391,0.358422939,0,38.70967742,53.76344086,3.584229391,279
AZ,rural-remote,0,0,0,67.71653543,31.49606299,0.787401575,127
AZ,town-distant,0.13568521,0.407055631,0.271370421,72.18453189,25.50881954,1.492537313,737
AZ,rural-remote,0,0,0,0,100,0,12
AZ,rural-remote,0,0,1.869158879,40.18691589,57.94392523,0,107
AZ,rural-remote,0,0,0,11.11111111,81.48148148,7.407407407,27
AZ,rural-remote,0,0,0,80.35714286,19.64285714,0,56
AZ,town-fringe,1.023541453,1.10542477,7.819856704,59.93858751,27.30808598,2.804503582,4885
AZ,town-fringe,0.989364333,1.113034875,7.197625526,52.85678951,35.79025476,2.052930992,4043
AZ,city-small,0.716479017,3.51415899,6.26066189,36.35278062,45.75230297,7.403616513,5862
AZ,rural-fringe,1.117117117,0.792792793,2.09009009,42.99099099,49.8018018,3.207207207,2775
AZ,rural-fringe,10.33822591,0.382897256,0.063816209,30.18506701,55.64773452,3.382259094,1567
AZ,rural-distant,2.272727273,0,2.272727273,17.42424242,72.72727273,5.303030303,132
AZ,city-large,1.082649701,0.479937497,4.436631508,90.01618394,3.164239076,0.820358279,17919
AZ,suburban-small,6.166955517,0.909878683,2.975158868,63.2293472,22.3859041,4.332755633,6924
AZ,suburban-small,7.819839735,1.326333241,3.647416413,60.12710694,25.72533849,1.353965184,3619
AZ,suburban-large,0.238048006,7.002578853,1.864709383,25.014878,60.94028963,4.939496132,5041
AZ,rural-remote,95.2,0.8,0,3.2,0.8,0,125
AZ,suburban-large,1.457463736,8.385028711,5.479325692,27.00228305,54.45425824,3.221640569,43363
AZ,town-remote,99.40239044,0.085372795,0.142287991,0.028457598,0.341491178,0,3514
AZ,rural-distant,0,3.448275862,1.149425287,41.37931034,54.02298851,0,87
AZ,rural-remote,3.592814371,1.796407186,1.796407186,28.74251497,60.47904192,3.592814371,167
AZ,rural-remote,0,2.127659574,1.063829787,40.42553191,56.38297872,0,94
AZ,rural-fringe,0.917431193,1.28440367,0.550458716,51.19266055,42.93577982,3.119266055,545
AZ,town-fringe,16.26363205,0.426742532,9.15125652,49.45471788,22.6173542,2.086296823,2109
AZ,town-distant,1.632261162,0.960153625,0.864138262,40.18242919,55.25684109,1.104176668,2083
AZ,city-small,0.848407235,1.696814471,1.632783736,81.33504082,13.65455419,0.832399552,6247
AZ,city-large,2.209338765,1.206518333,4.497022877,84.03321843,6.800376058,1.253525541,6382
AZ,rural-distant,0,0,0,0,100,0,6
